truck,day,id,name,lat,lon,volume
2,0,132,Parque San Francisco,-33.582471,-70.568569,20.775000
2,0,152,Sede Social Lomas  Orientes,-33.613080,-70.548002,4.032000
2,0,157,Conjunto Habitacional  Condominio Brisas Del Maipo,-33.605721,-70.541185,5.247000
2,0,188,Sede Social Cerro La Ballena,-33.598528,-70.558849,21.720000
2,1,1,Jardín infantiles de la Corporación Altue,-33.603551,-70.566052,1.080000
2,1,6,Liceo Juan Mackenna O´Reilly,-33.563967,-70.554813,4.032000
2,1,15,Jardín infantiles de la Corporación Villa Casas Viejas,-33.607105,-70.515300,1.080000
2,1,17,Escuela De Lenguaje Todos Los Santos,-33.593240,-70.568933,4.032000
2,1,19,Jardín infantiles de la Corporación Vista Hermosa,-33.610573,-70.517786,1.080000
2,1,20,Jardín Infantil Futurama,-33.596907,-70.557779,1.080000
2,1,29,Conjunto Habitacional  Condominio Las Lilas ,-33.587019,-70.560431,4.032000
2,1,30,Colegio Merryland,-33.565192,-70.567094,4.032000
2,1,31,Jardín infantiles de la Corporación Lomas Oriente,-33.604586,-70.554712,1.080000
2,1,43,Jardín infantiles de la Corporación Cerrito Arriba,-33.595298,-70.559728,1.080000
2,1,44,Jardín infantiles de la Corporación Bernardo Leighton,-33.599333,-70.569360,1.080000
2,1,50,Jardín Infantil Lucerito De Los Andes ,-33.614572,-70.562425,1.080000
2,1,56,Jardín infantiles de la Corporación Humberto Díaz,-33.599141,-70.558892,1.080000
2,1,63,Pueblito de Las Vizcachas,-33.599678,-70.529392,4.032000
2,1,65,Conjunto Habitacional Barrio Ingles Jardines de las Vizcachas,-33.600713,-70.516151,7.032000
2,1,66,Conjunto Habitacional Condominio 3 Jardines Vizcacha,-33.600713,-70.516151,4.032000
2,1,67,Conjunto Habitacional Condominio 4 Jardines Vizcacha,-33.600713,-70.516151,4.032000
2,1,70,Jardín infantiles de la Corporación Creación,-33.616771,-70.571056,1.080000
2,1,92,Centro Medico Vida Integra,-33.613290,-70.586936,4.032000
2,1,105,Sede social Marcela Paz ,-33.610730,-70.574023,5.247000
2,1,108,Colegio Alemán Rudolf Deckwerth,-33.607576,-70.562213,4.032000
2,1,121,Jardín infantiles de la Corporación Andes Del Sur,-33.571395,-70.568639,1.080000
2,1,160,Escuela Nonato Coo,-33.603409,-70.570781,14.400000
